gen_id,location,treatment,disease_resistance,disease_resistance_se
U55,Florida,D,0.508438248490982,0.5805359840581422
K1,Florida,D,0.6367881518843654,0.48655380488084005
U19,Florida,D,0.4356333398942291,0.6101672256618111
M2,Florida,D,0.3280738800080762,0.6151238525184168
B8,Florida,D,0.3089636881866898,0.610286361561012
U39,Florida,D,0.3280738800080762,0.6151238525184172
U98,Florida,D,0.2906859573324436,0.6038058092453573
U15,Florida,D,0.4593249166781684,0.6026256519494163
U17,Florida,D,0.4126090663756678,0.6154166333530383
U47,Florida,D,0.34801091411193924,0.6181806151727433
U71,Florida,D,0.6367881518843654,0.48655380488084
U58,Florida,D,0.10674234253642309,0.40024693788193727
U65,Florida,D,0.3480109141119393,0.618180615172743
U59,Florida,D,0.2115726850946289,0.5517389074708744
U33,Florida,D,0.2732397851191928,0.5958240819250067
U100,Florida,D,0.3903047418355598,0.6184401662174048
U63,Florida,D,0.48361904735164635,0.5927518178838499
U41,Florida,D,0.5267368063897103,0.570364448167434
U43,Florida,D,0.3386852215489822,0.6171430271497635
HS1,Panama,H,0.6124081047798282,0.5041846951812469
HS2,Panama,H,0.6716917688211466,0.4491486050561009
HS3,Panama,H,0.742022515777696,0.37250353558101174
HS4,Panama,H,0.6196209415935239,0.49798523301766234
HS5,Panama,H,0.6268924687471927,0.4915928241568774
HS6,Panama,H,0.6870359099680334,0.4334403399845072
HS7,Panama,H,0.6947767793158041,0.4252964503588166
HS8,Panama,H,0.7261414555982472,0.390830860016399
HS9,Panama,H,0.7820556503644395,0.32378535798760466
HS10,Panama,H,0.7261414555982472,0.390830860016399
CK41,Panama,H,0.6052548166393624,0.5101923191916965
CK42,Panama,H,0.6716917688211466,0.44914860505610094
CK43,Panama,H,0.7261414555982472,0.39083086001639883
CK44,Panama,H,0.5981618375838739,0.5160093728483596
CK45,Panama,H,0.7660089745838571,0.3437393322159619
CK46,Panama,H,0.6342217227192035,0.4850065346161885
CK47,Panama,H,0.6870359099680334,0.43344033998450726
CK48,Panama,H,0.6196209415935239,0.49798523301766234
CK49,Panama,H,0.6870359099680334,0.43344033998450726
CK410,Panama,H,0.7261414555982472,0.390830860016399
CK141,Panama,H,0.6342217227192035,0.485006534616188
CK142,Panama,H,0.742022515777696,0.37250353558101185
CK143,Panama,H,0.6947767793158041,0.42529645035881664
CK144,Panama,H,0.6342217227192035,0.4850065346161879
CK145,Panama,H,0.7025604523898582,0.4169613490972024
CK146,Panama,H,0.6870359099680334,0.4334403399845072
CK147,Panama,H,0.7025604523898582,0.41696134909720284
CK148,Panama,H,0.7025604523898582,0.4169613490972026
CK149,Panama,H,0.7103843643125592,0.40843701574645175
CK1410,Panama,H,0.7103843643125592,0.40843701574645175
Tet1,Panama,H,0.5116454611633022,0.5750797058480059
Tet2,Panama,H,0.6870359099680334,0.4334403399845072
Tet3,Panama,H,0.5636221495434643,0.5422899059537444
Tet4,Panama,H,0.6052548166393624,0.5101923191916965
Tet5,Panama,H,0.6196209415935239,0.49798523301766234
Tet6,Panama,H,0.7340682605854881,0.3817554042274148
Tet7,Panama,H,0.6342217227192035,0.48500653461618776
Tet8,Panama,H,0.5116454611633022,0.575079705848006
Tet9,Panama,H,0.6052548166393624,0.5101923191916965
Tet10,Panama,H,0.6565444637602965,0.464078017073731
SR1,Panama,H,0.6490489835012804,0.4712495508894281
SR2,Panama,H,0.6490489835012804,0.47124955088942816
SR3,Panama,H,0.5502458564542217,0.5515266275839874
SR4,Panama,H,0.742022515777696,0.3725035355810118
SR5,Panama,H,0.6716917688211466,0.4491486050561008
SR6,Panama,H,0.7579973216018638,0.35348981574754296
SR7,Panama,H,0.5841593987681641,0.5270775525809692
SR8,Panama,H,0.6268924687471927,0.49159282415687744
SR9,Panama,H,0.7500002918635887,0.36307989961175274
SR10,Panama,H,0.5981618375838739,0.5160093728483596
HS1,Panama,D,0.3328740086709328,0.6128460509311066
HS2,Panama,D,0.40954291936965137,0.6124129931864043
HS3,Panama,D,0.5120511171164394,0.5748507283443157
HS4,Panama,D,0.3417331883245528,0.614186898977442
HS5,Panama,D,0.35079518224672257,0.6151618010900576
HS6,Panama,D,0.43082844388256464,0.6078268314461454
HS7,Panama,D,0.4417938809726842,0.6047726194515141
HS8,Panama,D,0.48779358738949097,0.587125911649918
HS9,Panama,D,0.5761101641391166,0.5334039633990693
HS10,Panama,D,0.48779358738949097,0.5871259116499179
CK41,Panama,D,0.3242151592706825,0.6111552255864385
CK42,Panama,D,0.40954291936965137,0.6124129931864043
