ID,gen_id,data_origin,species,location,reef,lat,lon
Ac_PA_Tet7,Tet7,vollmer,Ac,Panama,Tet,9.276316666666666,-82.10113333333334
Ac_PA_Tet8,Tet8,vollmer,Ac,Panama,Tet,9.276316666666666,-82.10113333333334
Ac_PA_Tet9,Tet9,vollmer,Ac,Panama,Tet,9.276316666666666,-82.10113333333334
baum_acerv11_SRR7235989,SRR7235989,baum,Ac,Virgin Islands,NA,NA,NA
baum_acerv12_SRR7235990,SRR7235990,baum,Ac,Florida,NA,NA,NA
baum_acerv16_SRR7235991,SRR7235991,baum,Ac,Florida,NA,NA,NA
baum_acerv19_SRR7235992,SRR7235992,baum,Ac,Florida,NA,NA,NA
baum_acerv1_SRR7236032,SRR7236032,baum,Ac,Belize,NA,NA,NA
baum_acerv21_SRR7235993,SRR7235993,baum,Ac,Florida,NA,NA,NA
baum_acerv22_SRR7235994,SRR7235994,baum,Ac,Florida,NA,NA,NA
baum_acerv26_SRR7235996,SRR7235996,baum,Ac,Curacao,NA,NA,NA
baum_acerv29_SRR7235998,SRR7235998,baum,Ac,Virgin Islands,NA,NA,NA
baum_acerv30_SRR7235999,SRR7235999,baum,Ac,Virgin Islands,NA,NA,NA
baum_acerv48_SRR7236037,SRR7236037,baum,Ac,Curacao,NA,NA,NA
baum_acerv50_SRR7236036,SRR7236036,baum,Ac,Curacao,NA,NA,NA
baum_acerv53_SRR7236034,SRR7236034,baum,Ac,Belize,NA,NA,NA
baum_acerv54_SRR7236029,SRR7236029,baum,Ac,Curacao,NA,NA,NA
baum_acerv55_SRR7236033,SRR7236033,baum,Ac,Belize,NA,NA,NA
baum_acerv5_SRR7236030,SRR7236030,baum,Ac,Curacao,NA,NA,NA
baum_acerv60_SRR7236028,SRR7236028,baum,Ac,Belize,NA,NA,NA
baum_acerv62_SRR7236027,SRR7236027,baum,Ac,Belize,NA,NA,NA
baum_acerv6_SRR12363324,SRR12363324,baum,Ac,Virgin Islands,NA,NA,NA
baum_acerv72_SRR7236022,SRR7236022,baum,Ac,Virgin Islands,NA,NA,NA
baum_acerv73_SRR7236021,SRR7236021,baum,Ac,Virgin Islands,NA,NA,NA
baum_acerv8_SRR7236031,SRR7236031,baum,Ac,Belize,NA,NA,NA
baum_apalm10_SRR7235988,SRR7235988,baum,Apa,Curacao,NA,NA,NA
baum_apalm20_SRR12363330,SRR12363330,baum,Apa,Curacao,NA,NA,NA
baum_apalm23_SRR12363331,SRR12363331,baum,Apa,Curacao,NA,NA,NA
baum_apalm24_SRR12363332,SRR12363332,baum,Apa,Curacao,NA,NA,NA
baum_apalm2_SRR7235987,SRR7235987,baum,Apa,Curacao,NA,NA,NA
baum_apalm35_SRR7235979,SRR7235979,baum,Apa,Florida,NA,NA,NA
baum_apalm36_SRR7236001,SRR7236001,baum,Apa,Florida,NA,NA,NA
baum_apalm37_SRR7235981,SRR7235981,baum,Apa,Curacao,NA,NA,NA
baum_apalm38_SRR7236003,SRR7236003,baum,Apa,Virgin Islands,NA,NA,NA
baum_apalm39_SRR7235980,SRR7235980,baum,Apa,Florida,NA,NA,NA
baum_apalm3_SRR7235986,SRR7235986,baum,Apa,Curacao,NA,NA,NA
baum_apalm40_SRR7236002,SRR7236002,baum,Apa,Virgin Islands,NA,NA,NA
baum_apalm41_SRR7235982,SRR7235982,baum,Apa,Curacao,NA,NA,NA
baum_apalm45_SRR7235984,SRR7235984,baum,Apa,Curacao,NA,NA,NA
baum_apalm46_SRR7236008,SRR7236008,baum,Apa,Virgin Islands,NA,NA,NA
baum_apalm49_SRR7236007,SRR7236007,baum,Apa,Virgin Islands,NA,NA,NA
baum_apalm51_SRR7236009,SRR7236009,baum,Apa,Virgin Islands,NA,NA,NA
baum_apalm56_SRR7236010,SRR7236010,baum,Apa,Virgin Islands,NA,NA,NA
baum_apalm57_SRR7236012,SRR7236012,baum,Apa,Florida,NA,NA,NA
baum_apalm58_SRR7236011,SRR7236011,baum,Apa,Florida,NA,NA,NA
baum_apalm63_SRR7236015,SRR7236015,baum,Apa,Belize,NA,NA,NA
baum_apalm64_SRR7236016,SRR7236016,baum,Apa,Belize,NA,NA,NA
baum_apalm65_SRR7236025,SRR7236025,baum,Apa,Belize,NA,NA,NA
baum_apalm66_SRR7236017,SRR7236017,baum,Apa,Belize,NA,NA,NA
baum_apalm68_SRR7236018,SRR7236018,baum,Apa,Belize,NA,NA,NA
baum_apalm71_SRR7236019,SRR7236019,baum,Apa,Belize,NA,NA,NA
baum_apalm74_SRR7236020,SRR7236020,baum,Apa,Belize,NA,NA,NA
baum_apalm7_SRR7235985,SRR7235985,baum,Apa,Curacao,NA,NA,NA
baum_aprol13_SRR12363325,SRR12363325,baum,Apr,Virgin Islands,NA,NA,NA
baum_aprol14_SRR12363327,SRR12363327,baum,Apr,Belize,NA,NA,NA
baum_aprol15_SRR12363328,SRR12363328,baum,Apr,Belize,NA,NA,NA
baum_aprol17_SRR12363326,SRR12363326,baum,Apr,Virgin Islands,NA,NA,NA
baum_aprol18_SRR12363329,SRR12363329,baum,Apr,Belize,NA,NA,NA
baum_aprol25_SRR12363333,SRR12363333,baum,Apr,Virgin Islands,NA,NA,NA
baum_aprol27_SRR12363334,SRR12363334,baum,Apr,Belize,NA,NA,NA
baum_aprol28_SRR12363335,SRR12363335,baum,Apr,Belize,NA,NA,NA
baum_aprol31_SRR7235997,SRR7235997,baum,Apr,Virgin Islands,NA,NA,NA
baum_aprol32_SRR7235977,SRR7235977,baum,Apr,Virgin Islands,NA,NA,NA
baum_aprol33_SRR7235978,SRR7235978,baum,Apr,Virgin Islands,NA,NA,NA
baum_aprol34_SRR7236000,SRR7236000,baum,Apr,Virgin Islands,NA,NA,NA
baum_aprol42_SRR7236004,SRR7236004,baum,Apr,Belize,NA,NA,NA
baum_aprol43_SRR7236005,SRR7236005,baum,Apr,Florida,NA,NA,NA
baum_aprol44_SRR7236006,SRR7236006,baum,Apr,Belize,NA,NA,NA
baum_aprol47_SRR7236038,SRR7236038,baum,Apr,Virgin Islands,NA,NA,NA
baum_aprol4_SRR12363322,SRR12363322,baum,Apr,Virgin Islands,NA,NA,NA
baum_aprol52_SRR7236035,SRR7236035,baum,Apr,Belize,NA,NA,NA
baum_aprol59_SRR7236013,SRR7236013,baum,Apr,Belize,NA,NA,NA
baum_aprol61_SRR7236014,SRR7236014,baum,Apr,Belize,NA,NA,NA
baum_aprol67_SRR7236024,SRR7236024,baum,Apr,Florida,NA,NA,NA
baum_aprol69_SRR7236023,SRR7236023,baum,Apr,Bahamas,NA,NA,NA
baum_aprol70_SRR7236026,SRR7236026,baum,Apr,Curacao,NA,NA,NA
baum_aprol9_SRR12363323,SRR12363323,baum,Apr,Virgin Islands,NA,NA,NA
