ID,gen_id,data_origin,species,location,reef,lat,lon,clone_group,disease_resistance
Ac_PA_SR3,SR3,vollmer,Ac,Panama,SR,9.254566666666667,-82.12718333333333,clone_81,0.26182094696250846
Ac_PA_SR4,SR4,vollmer,Ac,Panama,SR,9.254566666666667,-82.12718333333333,clone_82,0.5120511171164394
Ac_PA_SR5,SR5,vollmer,Ac,Panama,SR,9.254566666666667,-82.12718333333333,clone_83,0.40954291936965137
Ac_PA_SR6,SR6,vollmer,Ac,Panama,SR,9.254566666666667,-82.12718333333333,clone_84,0.5371117883983122
Ac_PA_SR7,SR7,vollmer,Ac,Panama,SR,9.254566666666667,-82.12718333333333,clone_85,0.29941382142632683
Ac_PA_SR8,SR8,vollmer,Ac,Panama,SR,9.254566666666667,-82.12718333333333,clone_86,0.35079518224672257
Ac_PA_SR9,SR9,vollmer,Ac,Panama,SR,9.254566666666667,-82.12718333333333,clone_87,0.5244833989283103
Ac_PA_Tet1,Tet1,vollmer,Ac,Panama,Tet,9.276316666666666,-82.10113333333334,clone_88,0.22240545225540856
Ac_PA_Tet2,Tet2,vollmer,Ac,Panama,Tet,9.276316666666666,-82.10113333333334,clone_89,0.43082844388256464
Ac_PA_Tet3,Tet3,vollmer,Ac,Panama,Tet,9.276316666666666,-82.10113333333334,clone_90,0.2763149114511902
Ac_PA_Tet4,Tet4,vollmer,Ac,Panama,Tet,9.276316666666666,-82.10113333333334,clone_91,0.3242151592706825
Ac_PA_Tet5,Tet5,vollmer,Ac,Panama,Tet,9.276316666666666,-82.10113333333334,clone_92,0.3417331883245528
Ac_PA_Tet6,Tet6,vollmer,Ac,Panama,Tet,9.276316666666666,-82.10113333333334,clone_93,0.49981983405014696
Ac_PA_Tet7,Tet7,vollmer,Ac,Panama,Tet,9.276316666666666,-82.10113333333334,clone_94,0.36006231914342834
Ac_PA_Tet8,Tet8,vollmer,Ac,Panama,Tet,9.276316666666666,-82.10113333333334,clone_95,0.22240545225540856
Ac_PA_Tet9,Tet9,vollmer,Ac,Panama,Tet,9.276316666666666,-82.10113333333334,clone_96,0.3242151592706825
baum_acerv16_SRR7235991,SRR7235991,baum,Ac,Florida,NA,NA,NA,clone_99,NA
baum_acerv21_SRR7235993,SRR7235993,baum,Ac,Florida,NA,NA,NA,clone_102,NA
baum_acerv26_SRR7235996,SRR7235996,baum,Ac,Curacao,NA,NA,NA,clone_104,NA
baum_acerv29_SRR7235998,SRR7235998,baum,Ac,Virgin Islands,NA,NA,NA,clone_105,NA
baum_acerv30_SRR7235999,SRR7235999,baum,Ac,Virgin Islands,NA,NA,NA,clone_106,NA
